Outfall Structure,Outfall Location,Tide Gate #,Waterway Reach,Plant,Open date/time,Close date/time,Gate Open Period
DS-M21,Western Ave (S),TG2,CSSC Upper (SWRP),Stickney,5/25/2016 19:15,5/25/2016 19:39,:00:24:04
DS-M21,Western Ave (S),TG1,CSSC Upper (SWRP),Stickney,5/25/2016 19:15,5/25/2016 19:39,:00:24:32
DS-M38,Union Ave (N),TG1,SB Chicago R,Stickney,5/25/2016 19:04,5/25/2016 19:39,:00:35:40
DS-M84,Roscoe St (W),TG4,NBCR Lower (NSC Confluence),Stickney,5/25/2016 18:30,5/25/2016 19:39,:01:09:08
DS-M73,McLean Ave (W),TG1,NBCR Lower (NSC Confluence),Stickney,5/25/2016 18:30,5/25/2016 19:39,:01:09:28
DS-M38,Union Ave (N),TG2,SB Chicago R,Stickney,5/25/2016 19:04,5/25/2016 19:40,:00:35:24
DS-M10,Lombard Ave (N),TG2,CSSC Lower (SWRP),Stickney,5/25/2016 19:13,5/25/2016 19:41,:00:27:48
DS-M61A,Fulton St & Canal St (W),TG2,NBCR Lower (NSC Confluence),Stickney,5/25/2016 18:58,5/25/2016 19:41,:00:43:12
DS-M105W,Greenwood St & McCormick Blvd (W),TG1,NSC Upper (NSWRP),Stickney,5/25/2016 19:13,5/25/2016 19:41,:00:28:18
DS-M47,Maxwell St (Maxwell & Lumber) (W),TG1,SB Chicago R,Stickney,5/25/2016 19:11,5/25/2016 19:42,:00:31:30
DS-M79,Diversey Ave (W),TG1,NBCR Lower (NSC Confluence),Stickney,5/25/2016 19:05,5/25/2016 19:43,:00:38:12
DS-M82,Belmont Ave (W),TG1,NBCR Lower (NSC Confluence),Stickney,5/25/2016 19:09,5/25/2016 19:45,:00:36:42
TG-I12,Albany Ave (N),TG1,Collateral Channel,Stickney,5/25/2016 18:58,5/25/2016 19:46,:00:47:24
DS-D11,Belmont Ave (E),TG1,DesPlaines Middle,Stickney,5/25/2016 18:53,5/25/2016 19:46,:00:52:48
DS-M83,Melrose St & North Rockwell St (W),TG1,NBCR Lower (NSC Confluence),Stickney,5/25/2016 19:18,5/25/2016 19:49,:00:30:24
DS-D16,Grand Ave (W),TG1,DesPlaines Middle,Stickney,5/25/2016 18:18,5/25/2016 19:49,:01:30:58
DS-M10,Lombard Ave (N),TG3,CSSC Lower (SWRP),Stickney,5/25/2016 19:14,5/25/2016 19:51,:00:36:32
DS-M97,Pratt Ave (E),TG1,NSC Lower (NSWRP),Stickney,5/25/2016 18:45,5/25/2016 19:51,:01:05:58
DS-M97,Pratt Ave (E),TG2,NSC Lower (NSWRP),Stickney,5/25/2016 18:45,5/25/2016 19:51,:01:05:58
DS-M40,Normal Ave (S),TG2,SB Chicago R,Stickney,5/25/2016 19:20,5/25/2016 19:53,:00:32:56
