disasterNumber,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,state,declarationDate,disasterType,incidentType,title,incidentBeginDate,incidentEndDate,disasterCloseOutDate,declaredCountyArea,placeCode,hash,lastRefresh
1826,0,0,1,1,IL,2009-03-02T19:25:00 +00:00,DR,Severe Storm(s),SEVERE WINTER STORM,2009-01-26T00:00:00 +00:00,2009-01-28T00:00:00 +00:00,2016-08-08T23:59:00 +00:00,Johnson (County),99087,1cf8d1f8bf4b2bfdf23a172d6585aca0,2016-08-30T15:08:18 +00:00
1826,0,0,1,1,IL,2009-03-02T19:25:00 +00:00,DR,Severe Storm(s),SEVERE WINTER STORM,2009-01-26T00:00:00 +00:00,2009-01-28T00:00:00 +00:00,2016-08-08T23:59:00 +00:00,Union (County),99181,54464faf67cdecaa6bb005bd0ccc62a7,2016-08-30T15:08:18 +00:00
1850,0,0,1,1,IL,2009-07-02T17:30:00 +00:00,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADOES",2009-05-08T11:30:00 +00:00,2009-05-09T00:00:00 +00:00,,Randolph (County),99157,d667a37622edd2d0c2d932fd0b50febe,2016-08-30T15:08:18 +00:00
1935,1,0,1,1,IL,2010-08-19T14:00:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2010-07-19T14:36:00 +00:00,2010-08-07T11:00:00 +00:00,,Jo Daviess (County),99085,dfe85c2edf96a3718786192d3b263ee6,2016-08-30T15:08:18 +00:00
1935,1,0,1,1,IL,2010-08-19T14:00:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2010-07-19T14:36:00 +00:00,2010-08-07T11:00:00 +00:00,,Stephenson (County),99177,5d5e9cd0c2390a3a2c36c85bde8def5d,2016-08-30T15:08:18 +00:00
1991,1,0,1,1,IL,2011-06-07T05:31:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2011-04-19T15:58:00 +00:00,2011-06-14T00:00:00 +00:00,,Alexander (County),99003,c124d29259a231ca2e261ba313acd6f7,2016-08-30T15:08:25 +00:00
1991,1,0,1,1,IL,2011-06-07T05:31:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2011-04-19T15:58:00 +00:00,2011-06-14T00:00:00 +00:00,,Hardin (County),99069,e2e10a8d3ef0a6689d4d1b1340837e46,2016-08-30T15:08:24 +00:00
1991,1,0,1,1,IL,2011-06-07T05:31:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2011-04-19T15:58:00 +00:00,2011-06-14T00:00:00 +00:00,,Massac (County),99127,441580da2b7af6ebd11167414145131a,2016-08-30T15:08:24 +00:00
1991,1,0,1,1,IL,2011-06-07T05:31:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2011-04-19T15:58:00 +00:00,2011-06-14T00:00:00 +00:00,,Saline (County),99165,8dcaf0653af2b87d9c68294e4ea71e7a,2016-08-30T15:08:24 +00:00
1991,1,0,1,1,IL,2011-06-07T05:31:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2011-04-19T15:58:00 +00:00,2011-06-14T00:00:00 +00:00,,White (County),99193,8947cfaa52a9ed6f867863b5a5067f2d,2016-08-30T15:08:24 +00:00
