disasterNumber,incidentType,state,county,city,zipCode,validRegistrations,averageFemaInspectedDamage,totalInspected,totalDamage,noFemaInspectedDamage,femaInspectedDamageBetween1And10000,femaInspectedDamageBetween10001And20000,femaInspectedDamageBetween20001And30000,femaInspectedDamageGreaterThan30000,approvedForFemaAssistance,totalApprovedIhpAmount,repairReplaceAmount,rentalAmount,otherNeedsAmount,approvedBetween1And10000,approvedBetween10001And25000,approvedBetween25001AndMax,totalMaxGrants,hash,lastRefresh,declarationDate,title,incidentBeginDate,incidentEndDate
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60620.0,1.0,511.0,1.0,511.0,0.0,1.0,0.0,0.0,0.0,1.0,511.0,511.0,0.0,0.0,1.0,0.0,0.0,0.0,cc4312510246745cb2561e78a73a6df2,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60623.0,1.0,3180.0,1.0,3180.0,0.0,1.0,0.0,0.0,0.0,1.0,6904.0,5671.0,0.0,1232.0,1.0,0.0,0.0,0.0,b5778c63b9b19adf288c014a67f11204,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60638.0,1.0,1121.0,1.0,1121.0,0.0,1.0,0.0,0.0,0.0,1.0,1121.0,1121.0,0.0,0.0,1.0,0.0,0.0,0.0,da789ac85eca57fa168239c9bbfe6dfb,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60620.0,1.0,2834.0,1.0,2834.0,0.0,1.0,0.0,0.0,0.0,1.0,2015.0,2015.0,0.0,0.0,1.0,0.0,0.0,0.0,834677982472215e5eb1a2dcaffb28b8,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60104.0,1.0,3034.0,1.0,3034.0,0.0,1.0,0.0,0.0,0.0,1.0,4373.0,2567.0,1806.0,0.0,1.0,0.0,0.0,0.0,50999e59748abfea36c901c8b06608d4,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60608.0,830.0,3376.0,768.0,2592401.0,38.0,689.0,38.0,3.0,0.0,693.0,2469474.0,2098573.0,170907.0,199994.0,657.0,36.0,0.0,0.0,224d23be779c4163d14dc5c40ba10055,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60618.0,340.0,3100.0,314.0,973282.0,26.0,269.0,15.0,4.0,0.0,267.0,899169.0,755018.0,75776.0,68375.0,257.0,10.0,0.0,0.0,83ded055eb8df4f8eb2b32952d509fb1,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60629.0,6.0,3569.0,5757.0,20547974.0,132.0,5.0,212.0,17.0,4.0,5417.0,19673578.0,16500561.0,1290852.0,1882165.0,5.0,228.0,16.0,4.0,5e690e7c2aba3a9e7265ef5034f5288e,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60640.0,3.0,1283.0,3.0,3848.0,2.0,1.0,0.0,0.0,0.0,1.0,3554.0,3554.0,0.0,0.0,1.0,0.0,0.0,0.0,c4882b6467a493c47fe2101ace162c61,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60652.0,2.0,1950.0,2202.0,4294097.0,66.0,2.0,8.0,1.0,0.0,1886.0,4173959.0,3355662.0,542015.0,276282.0,1.0,20.0,4.0,1.0,dee0f9d8d9437b40bac050ec5f0b680a,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
