disasterNumber,incidentType,state,county,city,zipCode,totalValidRegistrations,validCallCenterRegistrations,validWebRegistrations,validMobileRegistrations,ihpReferrals,ihpEligible,ihpAmount,haReferrals,haEligible,haAmount,onaReferrals,onaEligible,onaAmount,hash,lastRefresh,declarationDate,title,incidentBeginDate,incidentEndDate
4116.0,Flood,IL,Cook (County),Chicago,60610.0,17.0,4.0,8.0,5.0,14.0,3.0,16855.79,10.0,2.0,5598.52,13.0,3.0,11257.27,a7947dbc25eacd05591f6d4247182958,2014-11-23T02:38:04 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60621.0,1502.0,1.0,355.0,90.0,1455.0,812.0,1929631.38,1396.0,576.0,1478411.83,1218.0,466.0,451219.55,9054426a11d671f9270e043d524a8ebb,2015-03-02T19:03:16 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60632.0,284.0,156.0,119.0,9.0,274.0,188.0,589302.59,267.0,170.0,484206.26,224.0,82.0,105096.33,90f8b3268a5cae238abd310663ada27a,2015-03-02T19:03:16 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60643.0,2842.0,1.0,915.0,124.0,2792.0,2019.0,4281041.71,2730.0,1805.0,3816678.99,2044.0,618.0,464362.72,efaaa439dee871acb21b41e624fabd37,2015-03-02T19:03:16 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60655.0,200.0,59.0,127.0,14.0,195.0,153.0,246433.4,187.0,152.0,242956.39,124.0,10.0,3477.01,589aab87ef3c3cec1de5e3029af8d3bc,2014-11-23T02:38:04 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60827.0,184.0,124.0,50.0,10.0,169.0,75.0,209445.75,150.0,53.0,161582.66,152.0,45.0,47863.09,af0ed84cc269bf663f69f9f2eb4841da,2014-11-23T02:38:04 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60612.0,421.0,257.0,136.0,28.0,403.0,229.0,625396.38,384.0,166.0,459840.44,345.0,127.0,165555.94,7e503a9f9aae350535693a42815f3b3f,2015-03-02T19:03:16 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60644.0,1814.0,1.0,465.0,95.0,1766.0,1086.0,2955103.74,1714.0,902.0,2191059.99,1474.0,522.0,764043.75,1515f4f3cd88d827755716671d53ab24,2015-03-02T19:03:16 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60633.0,217.0,154.0,57.0,6.0,209.0,158.0,504160.59,202.0,144.0,456323.14,160.0,53.0,47837.45,86bf3162acc0a88bd42a0d17a6a6c1ed,2014-11-23T02:38:04 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60622.0,41.0,13.0,25.0,3.0,38.0,23.0,38233.88,33.0,13.0,25527.02,32.0,12.0,12706.86,f49759c8f766ae20fc5c0cfedee3406e,2014-11-23T02:38:04 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60656.0,386.0,108.0,262.0,16.0,374.0,290.0,530073.51,368.0,278.0,496750.17,279.0,67.0,33323.34,682e023f2c34d81d46967712adb99651,2014-11-23T02:38:04 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60617.0,1.0,0.0,1.0,0.0,1.0,1.0,567.78,1.0,1.0,567.78,1.0,0.0,0.0,f4eb5d898baa3d5f6aa1f43a8ec8cee6,2014-11-23T02:38:04 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60613.0,8.0,3.0,5.0,0.0,8.0,4.0,11652.18,8.0,3.0,5192.0,5.0,4.0,6460.18,d23bd2ab7bb76dc3c34f1d6678e07b03,2014-11-23T02:38:04 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60623.0,977.0,627.0,277.0,73.0,952.0,532.0,1900607.65,925.0,435.0,1461379.58,782.0,261.0,439228.07,65e8f85e6b5f721df21e754687c1ad1f,2015-03-02T19:03:16 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60634.0,866.0,279.0,557.0,30.0,837.0,699.0,1566813.95,819.0,680.0,1466812.63,611.0,135.0,100001.32,5fa3485db6864a3210b42da0a797f131,2014-11-23T02:38:04 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60657.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,a595bf1c59d7e0015e629b77538b5d8e,2014-11-23T02:38:04 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60645.0,157.0,52.0,96.0,9.0,152.0,103.0,176063.64,144.0,96.0,144112.66,115.0,23.0,31950.98,2077e53e80420867be4c203fe12d8f1d,2014-11-23T02:38:04 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
1800.0,Severe Storm(s),IL,Cook (County),Chicago,60610.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,d6f961f4916dc4aafb8327a820577852,2014-11-23T02:44:41 +00:00,2008-10-03T18:30:00 +00:00,SEVERE STORMS AND FLOODING,2008-09-13 08:00:00,2008-10-05T00:00:00 +00:00
1800.0,Severe Storm(s),IL,Cook (County),Chicago,60621.0,496.0,332.0,164.0,0.0,468.0,224.0,479901.63,457.0,188.0,405396.76,342.0,82.0,74504.87,a1c937877810fd07c4f1a9ec55477ebe,2014-11-23T02:44:41 +00:00,2008-10-03T18:30:00 +00:00,SEVERE STORMS AND FLOODING,2008-09-13 08:00:00,2008-10-05T00:00:00 +00:00
