Created Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
2000-03-13,0,0,0,2,1,2,1,2,3,0,2,0,1,0,1,4,0,1,1,2,2,0,0,0,0,0,2,0,2,1,0,0,1,5,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2000-03-14,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,2,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2000-03-15,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,4,1,0,0,1,0,0,2,4,0,0,4,1,3,0,5,2,2,3,1,1,0,0,0,2,0,1,0,2,2
2000-03-16,2,2,1,1,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2,3,0,1,1,0,1,1,1,3,1,2,0,3,1,0,0,0,0,0,0,0,1
2000-03-17,2,0,2,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,4,1,1,1,0,0
2000-03-18,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-03-19,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
2000-03-20,4,0,1,1,0,1,4,3,2,2,1,3,0,1,1,0,3,0,1,5,3,0,0,0,0,0,1,1,2,0,0,1,1,1,2,1,0,1,0,1,0,2,0,1,0,5,3,1,0,0
2000-03-21,0,0,0,0,0,2,1,2,1,0,0,2,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,2,1,2,0,0,6,0,0,0,1,1,0,0,0,0,3,0,0,2,0,0,0
2000-03-22,1,0,0,0,0,0,1,1,2,0,2,1,0,0,2,2,3,0,0,1,1,1,0,0,1,1,0,1,3,1,0,0,0,3,0,1,0,1,1,1,2,2,0,3,2,0,2,0,0,1
2000-03-23,1,1,1,0,0,0,1,0,2,0,0,1,1,0,1,0,2,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,3,0,0,1,0,2,1,0,0,0,0,0,1,0,1,3,0
2000-03-24,2,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,2,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2000-03-25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2000-03-26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-03-27,1,0,0,0,0,1,2,2,1,0,0,1,0,0,0,2,0,0,0,1,1,2,1,2,1,1,1,2,0,0,0,0,0,2,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0
2000-03-28,1,0,1,0,0,0,0,1,2,3,0,1,0,0,0,1,1,1,0,4,3,0,1,2,0,0,0,3,1,0,1,1,1,1,3,1,3,0,1,0,0,0,0,0,1,1,0,0,0,0
2000-03-29,0,0,0,0,1,0,0,0,0,1,0,0,3,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2000-03-30,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,1,0,1,3,0,0,0,0,4,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0
2000-03-31,0,0,0,0,1,3,1,1,1,0,0,1,0,0,1,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2000-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-04-03,1,0,2,0,0,0,0,1,0,2,0,0,0,0,2,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,4,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
2000-04-04,1,2,1,0,1,0,0,2,0,1,0,1,0,0,3,0,0,1,0,0,1,1,2,0,0,0,2,0,1,1,1,1,1,1,0,0,3,1,0,0,0,1,0,2,0,0,0,0,0,0
2000-04-05,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,1,1,2,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2000-04-06,1,0,1,0,0,3,0,0,2,1,0,0,0,0,1,0,0,0,2,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2000-04-07,0,3,0,0,1,0,0,0,2,1,0,0,0,1,1,1,1,0,0,2,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,2
2000-04-08,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0
2000-04-09,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2000-04-10,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,2,1,0,0,1,3,2,1,1,1,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2000-04-11,0,1,1,2,0,1,2,4,3,3,1,0,0,0,1,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,1,1,0,0,0,2,0,0,0,1,0,1,0
2000-04-12,1,0,2,0,0,1,1,2,0,0,1,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,2,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0
2000-04-13,0,1,0,0,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1
2000-04-14,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-04-15,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-04-16,0,0,0,1,0,1,6,1,2,1,0,1,2,0,0,4,0,1,2,1,2,0,1,0,0,0,0,0,1,0,0,0,0,4,0,1,1,0,2,1,0,0,0,0,1,0,0,0,0,1
2000-04-17,1,1,2,1,0,6,7,10,6,3,0,4,0,1,1,8,7,1,11,4,12,2,3,1,3,2,0,0,6,3,3,4,6,6,2,1,5,2,7,2,0,1,0,0,4,0,2,2,0,3
2000-04-18,3,0,0,1,0,5,2,4,7,3,0,2,1,1,3,3,3,2,1,2,8,1,4,4,2,0,0,1,2,0,1,1,0,1,0,1,2,0,1,0,2,0,2,0,2,0,0,0,0,0
2000-04-19,1,0,1,0,4,8,14,6,10,4,0,5,2,2,2,8,8,4,4,5,12,2,5,0,0,2,3,0,6,1,3,1,1,15,4,2,3,10,11,2,7,3,0,0,5,0,2,1,1,6
2000-04-20,20,5,4,3,15,16,21,36,35,17,6,10,10,5,5,20,24,9,16,14,27,21,13,9,4,11,11,7,40,20,13,9,6,40,11,23,32,56,45,9,46,3,8,9,21,3,12,2,3,5
2000-04-21,4,2,3,4,4,18,17,22,14,9,1,2,2,4,3,8,12,9,19,9,21,6,4,7,3,5,5,14,20,8,4,8,10,30,5,7,18,11,18,7,23,6,2,1,16,3,8,2,1,6
2000-04-22,0,0,0,1,0,1,1,4,0,0,0,0,3,0,0,3,5,2,2,2,1,0,1,2,0,0,0,0,3,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,1
2000-04-23,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
2000-04-24,0,2,1,0,0,11,10,7,5,4,2,2,1,1,3,7,5,5,7,4,8,3,2,4,1,4,3,1,8,2,1,0,2,6,1,0,5,2,2,0,1,2,0,0,1,0,0,0,0,0
2000-04-25,0,0,0,0,2,2,4,2,2,2,1,1,0,0,3,2,3,9,1,1,6,0,0,0,0,1,0,5,1,2,0,0,0,11,0,1,2,0,1,0,0,0,2,0,1,0,3,1,0,0
2000-04-26,0,0,0,0,1,1,3,0,1,1,0,1,2,0,0,1,0,2,3,1,2,0,1,1,1,1,3,4,2,0,2,2,0,10,0,0,1,2,3,0,0,0,1,2,1,2,0,0,0,1
2000-04-27,1,0,1,1,4,4,3,1,1,2,1,0,1,1,1,0,2,3,1,0,2,2,0,1,0,0,1,0,5,1,0,1,0,4,0,1,2,0,1,0,2,1,0,0,0,0,0,0,1,1
2000-04-28,0,3,2,0,0,3,1,1,0,0,1,0,0,0,0,0,0,1,0,2,0,5,0,1,0,0,1,2,2,1,0,0,0,2,0,1,2,3,0,0,3,5,0,0,1,0,0,0,0,1
2000-04-29,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-04-30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-05-01,0,1,2,1,2,4,2,2,3,2,0,0,0,1,2,2,5,1,0,1,5,2,3,2,0,0,0,3,1,1,0,0,1,5,0,1,1,0,1,0,5,1,0,0,0,0,2,0,0,1
2000-05-02,1,0,1,0,0,2,2,3,2,3,0,1,2,0,0,0,1,1,1,1,0,0,0,1,1,2,1,1,1,1,1,1,0,1,0,0,0,3,0,0,1,1,1,2,2,1,0,2,0,0
2000-05-03,4,0,0,2,1,2,4,5,0,0,0,0,0,0,0,0,0,2,1,3,1,1,0,0,0,3,0,0,0,0,0,0,2,1,0,0,2,0,1,0,1,1,0,0,3,0,0,0,0,0
2000-05-04,0,1,0,0,1,0,1,0,0,2,0,0,1,0,0,1,3,1,1,1,3,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,1,1
